step,plants,sheep,wolves,total
0,300,43,14,357
1,273,42,14,329
2,257,40,14,311
3,250,36,14,300
4,241,35,14,290
5,236,35,14,285
6,231,33,14,278
7,222,32,14,268
8,216,31,14,261
9,212,30,14,256
10,209,30,14,253
11,206,30,14,250
12,203,28,14,245
13,199,28,14,241
14,195,28,14,237
15,198,24,8,230
16,196,24,8,228
17,192,23,8,223
18,188,23,8,219
19,185,23,8,216
20,182,20,8,210
21,50,20,8,78
22,51,20,8,79
23,52,20,8,80
24,47,19,8,74
25,47,18,5,70
26,53,17,5,75
27,52,17,5,74
28,56,17,5,78
29,55,17,5,77
30,55,14,5,74
31,54,0,5,59
